S.No,label,message
116,ham,Let's catch up this weekend.
117,spam,Free entry in a weekly contest. Text WIN to 80085!
118,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
119,spam,Urgent! Your account has been compromised. Act now!
120,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
121,spam,Get cheap meds online. No prescription needed.
122,ham,Let's go for a walk this evening.
123,spam,Act now to secure your loan at 0% interest.
124,spam,Act now to secure your loan at 0% interest.
125,ham,Don't forget to bring the charger.
126,ham,The meeting is rescheduled to 3 PM.
127,spam,Urgent! Your account has been compromised. Act now!
128,ham,Let's go for a walk this evening.
129,ham,"Hey, are we still meeting today?"
130,ham,Let's catch up this weekend.
131,ham,See you at the party tomorrow.
132,spam,Claim your free prize. Click the link below!
133,ham,The meeting is rescheduled to 3 PM.
134,spam,Claim your free prize. Click the link below!
135,spam,Act now to secure your loan at 0% interest.
136,spam,Win $1000 cash now by clicking this link!
137,spam,Get cheap meds online. No prescription needed.
138,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
139,spam,Limited time offer! Buy 1 get 1 free.
140,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
141,spam,Limited time offer! Buy 1 get 1 free.
142,ham,The meeting is rescheduled to 3 PM.
143,spam,Act now to secure your loan at 0% interest.
144,ham,Let's go for a walk this evening.
145,ham,Don't forget to bring the charger.
146,ham,Don't forget to bring the charger.
147,ham,See you at the party tomorrow.
148,ham,See you at the party tomorrow.
149,spam,Claim your free prize. Click the link below!
150,ham,Happy birthday! Hope you have a great day!
151,spam,Earn money from home easily. Join now!
152,ham,"Hey, are we still meeting today?"
153,ham,Let's catch up this weekend.
154,spam,Get cheap meds online. No prescription needed.
155,spam,You've been selected for a special reward.
156,ham,Can you send me the report by tonight?
157,spam,Get cheap meds online. No prescription needed.
158,ham,Happy birthday! Hope you have a great day!
159,ham,Don't forget to bring the charger.
160,spam,Win $1000 cash now by clicking this link!
161,spam,Win $1000 cash now by clicking this link!
162,spam,Free entry in a weekly contest. Text WIN to 80085!
163,spam,Claim your free prize. Click the link below!
164,spam,Earn money from home easily. Join now!
165,ham,Let's catch up this weekend.
166,ham,Let's go for a walk this evening.
167,ham,See you at the party tomorrow.
168,ham,I'll call you later.
169,ham,"Hey, are we still meeting today?"
170,ham,See you at the party tomorrow.
171,ham,"Hey, are we still meeting today?"
172,spam,Get cheap meds online. No prescription needed.
173,ham,Don't forget to bring the charger.
174,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
175,ham,Let's catch up this weekend.
176,ham,Let's go for a walk this evening.
177,ham,Happy birthday! Hope you have a great day!
178,spam,You've been selected for a special reward.
179,ham,Happy birthday! Hope you have a great day!
180,ham,I'll call you later.
181,spam,Act now to secure your loan at 0% interest.
182,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
183,ham,I'll call you later.
184,ham,Let's catch up this weekend.
185,spam,Limited time offer! Buy 1 get 1 free.
186,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
187,spam,Free entry in a weekly contest. Text WIN to 80085!
188,spam,Act now to secure your loan at 0% interest.
189,spam,You've been selected for a special reward.
190,spam,Act now to secure your loan at 0% interest.
191,ham,See you at the party tomorrow.
192,spam,Urgent! Your account has been compromised. Act now!
193,spam,Limited time offer! Buy 1 get 1 free.
194,ham,Thanks for your help yesterday!
195,ham,Let's go for a walk this evening.
196,ham,Don't forget to bring the charger.
197,ham,I'll call you later.
198,spam,Earn money from home easily. Join now!
199,ham,I'll call you later.
200,ham,See you at the party tomorrow.
201,ham,Don't forget to bring the charger.
202,ham,Happy birthday! Hope you have a great day!
203,ham,The meeting is rescheduled to 3 PM.
204,ham,Let's go for a walk this evening.
205,ham,I'll call you later.
206,ham,See you at the party tomorrow.
207,spam,Earn money from home easily. Join now!
208,ham,I'll call you later.
209,spam,Act now to secure your loan at 0% interest.
210,ham,The meeting is rescheduled to 3 PM.
211,ham,Can you send me the report by tonight?
212,spam,Limited time offer! Buy 1 get 1 free.
213,spam,Claim your free prize. Click the link below!
214,spam,Free entry in a weekly contest. Text WIN to 80085!
215,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
216,ham,I'll call you later.
217,ham,Let's go for a walk this evening.
218,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
219,ham,The meeting is rescheduled to 3 PM.
220,spam,Urgent! Your account has been compromised. Act now!
221,spam,Claim your free prize. Click the link below!
222,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
223,spam,Earn money from home easily. Join now!
224,spam,Limited time offer! Buy 1 get 1 free.
225,spam,Free entry in a weekly contest. Text WIN to 80085!
226,ham,The meeting is rescheduled to 3 PM.
227,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
228,spam,Get cheap meds online. No prescription needed.
229,ham,See you at the party tomorrow.
230,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
231,spam,Win $1000 cash now by clicking this link!
232,spam,Urgent! Your account has been compromised. Act now!
233,spam,Claim your free prize. Click the link below!
234,ham,Thanks for your help yesterday!
235,ham,Let's go for a walk this evening.
236,spam,You've been selected for a special reward.
237,ham,Can you send me the report by tonight?
238,ham,Can you send me the report by tonight?
239,ham,See you at the party tomorrow.
240,ham,Don't forget to bring the charger.
241,ham,Happy birthday! Hope you have a great day!
242,spam,Get cheap meds online. No prescription needed.
243,ham,Don't forget to bring the charger.
244,spam,Get cheap meds online. No prescription needed.
245,ham,Happy birthday! Hope you have a great day!
246,spam,Get cheap meds online. No prescription needed.
247,spam,Urgent! Your account has been compromised. Act now!
248,spam,Act now to secure your loan at 0% interest.
249,ham,I'll call you later.
250,ham,Don't forget to bring the charger.
